Year1,Year2,Overlap
10,11,"[80, 335, 335]"
10,12,"[101, 335, 481]"
10,13,"[107, 335, 505]"
10,14,"[83, 335, 483]"
10,15,"[69, 335, 439]"
10,16,"[59, 335, 528]"
10,17,"[71, 335, 592]"
10,18,"[52, 335, 487]"
11,12,"[105, 335, 481]"
11,13,"[82, 335, 505]"
11,14,"[61, 335, 483]"
11,15,"[60, 335, 439]"
11,16,"[88, 335, 528]"
11,17,"[62, 335, 592]"
11,18,"[42, 335, 487]"
12,13,"[140, 481, 505]"
12,14,"[149, 481, 483]"
12,15,"[104, 481, 439]"
12,16,"[89, 481, 528]"
12,17,"[111, 481, 592]"
12,18,"[71, 481, 487]"
13,14,"[142, 505, 483]"
13,15,"[138, 505, 439]"
13,16,"[103, 505, 528]"
13,17,"[122, 505, 592]"
13,18,"[101, 505, 487]"
14,15,"[141, 483, 439]"
14,16,"[106, 483, 528]"
14,17,"[137, 483, 592]"
14,18,"[80, 483, 487]"
15,16,"[135, 439, 528]"
15,17,"[146, 439, 592]"
15,18,"[108, 439, 487]"
16,17,"[179, 528, 592]"
16,18,"[112, 528, 487]"
17,18,"[135, 592, 487]"
